County,Year,Population
Alamance,2004,"171,415"
Alexander,2004,"36,444"
Alleghany,2004,"10,888"
Anson,2004,"22,055"
Ashe,2004,"26,577"
Avery,2004,"17,806"
Beaufort,2004,"44,652"
Bertie,2004,"17,934"
Bladen,2004,"29,606"
Brunswick,2004,"136,694"
Buncombe,2004,"269,452"
Burke,2004,"87,570"
Cabarrus,2004,"225,807"
Caldwell,2004,"80,652"
Camden,2004,"10,355"
Carteret,2004,"67,686"
Caswell,2004,"22,736"
Catawba,2004,"160,610"
Chatham,2004,"76,285"
Cherokee,2004,"28,774"
Chowan,2004,"13,708"
Clay,2004,"11,089"
Cleveland,2004,"99,519"
Columbus,2004,"50,623"
Craven,2004,"100,720"
Cumberland,2004,"334,728"
Currituck,2004,"28,100"
Dare,2004,"36,915"
Davidson,2004,"168,930"
Davie,2004,"42,712"
Duplin,2004,"48,715"
Durham,2004,"324,833"
Edgecombe,2004,"48,900"
Forsyth,2004,"382,590"
Franklin,2004,"68,573"
Gaston,2004,"227,943"
Gates,2004,"10,478"
Graham,2004,"8,030"
Granville,2004,"60,992"
Greene,2004,"20,451"
Guilford,2004,"541,309"
Halifax,2004,"48,622"
Harnett,2004,"133,568"
Haywood,2004,"62,089"
Henderson,2004,"116,281"
Hertford,2004,"21,552"
Hoke,2004,"52,082"
Hyde,2004,"4,589"
Iredell,2004,"186,699"
Jackson,2004,"43,109"
Johnston,2004,"215,999"
Jones,2004,"9,172"
Lee,2004,"63,285"
Lenoir,2004,"55,122"
Lincoln,2004,"86,810"
McDowell,2004,"44,578"
Macon,2004,"37,014"
Madison,2004,"21,193"
Martin,2004,"22,031"
Mecklenburg,2004,"1,115,482"
Mitchell,2004,"14,903"
Montgomery,2004,"25,751"
Moore,2004,"99,727"
Nash,2004,"94,970"
New Hanover,2004,"225,702"
Northampton,2004,"17,471"
Onslow,2004,"204,576"
Orange,2004,"148,696"
Pamlico,2004,"12,276"
Pasquotank,2004,"40,568"
Pender,2004,"60,203"
Perquimans,2004,"13,005"
Person,2004,"39,097"
Pitt,2004,"170,243"
Polk,2004,"19,328"
Randolph,2004,"144,171"
Richmond,2004,"42,946"
Robeson,2004,"116,530"
Rockingham,2004,"91,096"
Rowan,2004,"146,875"
Rutherford,2004,"64,444"
Sampson,2004,"59,036"
Scotland,2004,"34,174"
Stanly,2004,"62,504"
Stokes,2004,"44,520"
Surry,2004,"71,359"
Swain,2004,"14,117"
Transylvania,2004,"32,986"
Tyrrell,2004,"3,245"
Union,2004,"238,267"
Vance,2004,"42,578"
Wake,2004,"1,129,393"
Warren,2004,"18,642"
Washington,2004,"11,003"
Watauga,2004,"54,086"
Wayne,2004,"117,333"
Wilkes,2004,"65,969"
Wilson,2004,"78,784"
Yadkin,2004,"37,214"
Yancey,2004,"18,470"
