County,Year,Lat.y,Long.y,Votes_DEM,Votes_REP
ALAMANCE,2000,NA,NA,17459,29305
ALEXANDER,2000,35.921,-81.177,4166,9242
ALLEGHANY,2000,36.4916,-81.1271,1715,2531
ANSON,2000,34.9738,-80.1027,4792,3161
ASHE,2000,36.4341,-81.5003,4011,6226
AVERY,2000,36.0765,-81.9226,1686,4956
BEAUFORT,2000,35.494,-76.8598,6634,10531
BERTIE,2000,36.0662,-76.9787,4660,2488
BLADEN,2000,34.6146,-78.5637,5889,4977
BRUNSWICK,2000,34.071,-78.2377,13118,15427
BUNCOMBE,2000,35.6112,-82.5301,38545,46101
BURKE,2000,35.7496,-81.7048,11924,18466
CABARRUS,2000,35.3868,-80.5519,16284,32704
CALDWELL,2000,35.953,-81.5464,8588,17337
CAMDEN,2000,36.3877,-76.2064,1187,1628
CARTERET,2000,34.8357,-76.6589,7998,15317
CASWELL,2000,36.3932,-79.3335,4091,4270
CATAWBA,2000,35.662,-81.2151,16246,34244
CHATHAM,2000,35.7026,-79.2553,10461,10248
CHEROKEE,2000,35.1339,-84.0635,3239,6305
CHOWAN,2000,36.1508,-76.6079,2430,2415
CLAY,2000,35.0572,-83.7502,1361,2416
CLEVELAND,2000,35.3341,-81.5555,13455,19064
COLUMBUS,2000,34.2656,-78.655,9986,8342
CRAVEN,2000,35.1249,-77.0939,12213,19494
CUMBERLAND,2000,35.0487,-78.8277,38626,38129
CURRITUCK,2000,36.4031,-76.0059,2595,4095
DARE,2000,35.7805,-75.7982,5589,7301
DAVIDSON,2000,35.7933,-80.2128,16199,35387
DAVIE,2000,35.9291,-80.5445,3651,10184
DUPLIN,2000,34.9365,-77.933,6475,7840
DURHAM,2000,36.036,-78.8766,46626,25979
EDGECOMBE,2000,35.9129,-77.5971,11315,6836
FORSYTH,2000,36.1306,-80.2563,52457,67700
FRANKLIN,2000,36.0827,-78.2857,7454,8501
GASTON,2000,35.2944,-81.1803,19281,39453
GATES,2000,36.4449,-76.7005,1944,1480
GRAHAM,2000,35.3502,-83.8335,1006,2304
GRANVILLE,2000,36.304,-78.6527,7733,7364
GREENE,2000,35.485,-77.6758,2478,3353
GUILFORD,2000,36.0795,-79.7889,79912,82087
HALIFAX,2000,36.2574,-77.6517,10222,6698
HARNETT,2000,35.3688,-78.8693,9155,14762
HAYWOOD,2000,35.556,-82.9822,9287,11605
