County,Year,Population
Alamance,2020,"172,329"
Alexander,2020,"36,373"
Alleghany,2020,"10,929"
Anson,2020,"22,046"
Ashe,2020,"26,562"
Avery,2020,"17,696"
Beaufort,2020,"44,531"
Bertie,2020,"17,776"
Bladen,2020,"29,506"
Brunswick,2020,"138,726"
Buncombe,2020,"269,994"
Burke,2020,"87,779"
Cabarrus,2020,"227,574"
Caldwell,2020,"80,828"
Camden,2020,"10,402"
Carteret,2020,"68,024"
Caswell,2020,"22,654"
Catawba,2020,"161,167"
Chatham,2020,"76,476"
Cherokee,2020,"28,761"
Chowan,2020,"13,690"
Clay,2020,"11,123"
Cleveland,2020,"99,474"
Columbus,2020,"50,418"
Craven,2020,"101,181"
Cumberland,2020,"336,494"
Currituck,2020,"28,424"
Dare,2020,"37,137"
Davidson,2020,"169,638"
Davie,2020,"42,818"
Duplin,2020,"48,591"
Durham,2020,"326,474"
Edgecombe,2020,"48,824"
Forsyth,2020,"383,864"
Franklin,2020,"69,097"
Gaston,2020,"229,303"
Gates,2020,"10,437"
Graham,2020,"8,006"
Granville,2020,"60,931"
Greene,2020,"20,331"
Guilford,2020,"542,353"
Halifax,2020,"48,431"
Harnett,2020,"133,912"
Haywood,2020,"62,281"
Henderson,2020,"116,567"
Hertford,2020,"21,258"
Hoke,2020,"52,507"
Hyde,2020,"4,589"
Iredell,2020,"188,271"
Jackson,2020,"42,810"
Johnston,2020,"218,202"
Jones,2020,"9,149"
Lee,2020,"63,551"
Lenoir,2020,"54,924"
Lincoln,2020,"87,298"
Macon,2020,"37,022"
Madison,2020,"21,181"
Martin,2020,"21,902"
McDowell,2020,"44,471"
Mecklenburg,2020,"1,118,744"
Mitchell,2020,"14,875"
Montgomery,2020,"25,685"
Moore,2020,"100,535"
Nash,2020,"95,251"
New Hanover,2020,"226,885"
Northampton,2020,"17,344"
Onslow,2020,"205,421"
Orange,2020,"148,613"
Pamlico,2020,"12,259"
Pasquotank,2020,"40,668"
Pender,2020,"60,719"
Perquimans,2020,"13,017"
Person,2020,"39,082"
Pitt,2020,"171,065"
Polk,2020,"19,363"
Randolph,2020,"143,945"
Richmond,2020,"42,966"
Robeson,2020,"116,362"
Rockingham,2020,"90,939"
Rowan,2020,"147,300"
Rutherford,2020,"64,301"
Sampson,2020,"58,873"
Scotland,2020,"34,051"
Stanly,2020,"62,415"
Stokes,2020,"44,498"
Surry,2020,"71,169"
Swain,2020,"14,098"
Transylvania,2020,"32,946"
Tyrrell,2020,"3,264"
Union,2020,"239,915"
Vance,2020,"42,344"
Wake,2020,"1,135,587"
Warren,2020,"18,637"
Washington,2020,"10,928"
Watauga,2020,"54,259"
Wayne,2020,"116,967"
Wilkes,2020,"65,764"
Wilson,2020,"78,859"
Yadkin,2020,"37,140"
Yancey,2020,"18,433"
State,2020,"10,472,553"
