County,Choice_Party,Total_Votes,Year,Lat.y,Long.y
ALAMANCE,DEM,17459,2000,NA,NA
ALAMANCE,REP,29305,2000,NA,NA
ALEXANDER,DEM,4166,2000,35.921,-81.177
ALEXANDER,REP,9242,2000,35.921,-81.177
ALLEGHANY,DEM,1715,2000,36.4916,-81.1271
ALLEGHANY,REP,2531,2000,36.4916,-81.1271
ANSON,DEM,4792,2000,34.9738,-80.1027
ANSON,REP,3161,2000,34.9738,-80.1027
ASHE,DEM,4011,2000,36.4341,-81.5003
ASHE,REP,6226,2000,36.4341,-81.5003
AVERY,DEM,1686,2000,36.0765,-81.9226
AVERY,REP,4956,2000,36.0765,-81.9226
BEAUFORT,DEM,6634,2000,35.494,-76.8598
BEAUFORT,REP,10531,2000,35.494,-76.8598
BERTIE,DEM,4660,2000,36.0662,-76.9787
BERTIE,REP,2488,2000,36.0662,-76.9787
BLADEN,DEM,5889,2000,34.6146,-78.5637
BLADEN,REP,4977,2000,34.6146,-78.5637
BRUNSWICK,DEM,13118,2000,34.071,-78.2377
BRUNSWICK,REP,15427,2000,34.071,-78.2377
BUNCOMBE,DEM,38545,2000,35.6112,-82.5301
BUNCOMBE,REP,46101,2000,35.6112,-82.5301
BURKE,DEM,11924,2000,35.7496,-81.7048
BURKE,REP,18466,2000,35.7496,-81.7048
CABARRUS,DEM,16284,2000,35.3868,-80.5519
CABARRUS,REP,32704,2000,35.3868,-80.5519
CALDWELL,DEM,8588,2000,35.953,-81.5464
CALDWELL,REP,17337,2000,35.953,-81.5464
CAMDEN,DEM,1187,2000,36.3877,-76.2064
CAMDEN,REP,1628,2000,36.3877,-76.2064
CARTERET,DEM,7998,2000,34.8357,-76.6589
CARTERET,REP,15317,2000,34.8357,-76.6589
CASWELL,DEM,4091,2000,36.3932,-79.3335
CASWELL,REP,4270,2000,36.3932,-79.3335
CATAWBA,DEM,16246,2000,35.662,-81.2151
CATAWBA,REP,34244,2000,35.662,-81.2151
CHATHAM,DEM,10461,2000,35.7026,-79.2553
CHATHAM,REP,10248,2000,35.7026,-79.2553
CHEROKEE,DEM,3239,2000,35.1339,-84.0635
CHEROKEE,REP,6305,2000,35.1339,-84.0635
CHOWAN,DEM,2430,2000,36.1508,-76.6079
CHOWAN,REP,2415,2000,36.1508,-76.6079
CLAY,DEM,1361,2000,35.0572,-83.7502
CLAY,REP,2416,2000,35.0572,-83.7502
CLEVELAND,DEM,13455,2000,35.3341,-81.5555
CLEVELAND,REP,19064,2000,35.3341,-81.5555
COLUMBUS,DEM,9986,2000,34.2656,-78.655
COLUMBUS,REP,8342,2000,34.2656,-78.655
CRAVEN,DEM,12213,2000,35.1249,-77.0939
CRAVEN,REP,19494,2000,35.1249,-77.0939
CUMBERLAND,DEM,38626,2000,35.0487,-78.8277
CUMBERLAND,REP,38129,2000,35.0487,-78.8277
CURRITUCK,DEM,2595,2000,36.4031,-76.0059
CURRITUCK,REP,4095,2000,36.4031,-76.0059
DARE,DEM,5589,2000,35.7805,-75.7982
DARE,REP,7301,2000,35.7805,-75.7982
DAVIDSON,DEM,16199,2000,35.7933,-80.2128
DAVIDSON,REP,35387,2000,35.7933,-80.2128
DAVIE,DEM,3651,2000,35.9291,-80.5445
DAVIE,REP,10184,2000,35.9291,-80.5445
DUPLIN,DEM,6475,2000,34.9365,-77.933
DUPLIN,REP,7840,2000,34.9365,-77.933
DURHAM,DEM,46626,2000,36.036,-78.8766
DURHAM,REP,25979,2000,36.036,-78.8766
EDGECOMBE,DEM,11315,2000,35.9129,-77.5971
EDGECOMBE,REP,6836,2000,35.9129,-77.5971
FORSYTH,DEM,52457,2000,36.1306,-80.2563
FORSYTH,REP,67700,2000,36.1306,-80.2563
FRANKLIN,DEM,7454,2000,36.0827,-78.2857
FRANKLIN,REP,8501,2000,36.0827,-78.2857
GASTON,DEM,19281,2000,35.2944,-81.1803
GASTON,REP,39453,2000,35.2944,-81.1803
GATES,DEM,1944,2000,36.4449,-76.7005
GATES,REP,1480,2000,36.4449,-76.7005
GRAHAM,DEM,1006,2000,35.3502,-83.8335
GRAHAM,REP,2304,2000,35.3502,-83.8335
GRANVILLE,DEM,7733,2000,36.304,-78.6527
GRANVILLE,REP,7364,2000,36.304,-78.6527
GREENE,DEM,2478,2000,35.485,-77.6758
GREENE,REP,3353,2000,35.485,-77.6758
GUILFORD,DEM,79912,2000,36.0795,-79.7889
GUILFORD,REP,82087,2000,36.0795,-79.7889
HALIFAX,DEM,10222,2000,36.2574,-77.6517
HALIFAX,REP,6698,2000,36.2574,-77.6517
HARNETT,DEM,9155,2000,35.3688,-78.8693
HARNETT,REP,14762,2000,35.3688,-78.8693
HAYWOOD,DEM,9287,2000,35.556,-82.9822
HAYWOOD,REP,11605,2000,35.556,-82.9822
HENDERSON,DEM,11434,2000,35.3363,-82.48
HENDERSON,REP,23382,2000,35.3363,-82.48
HERTFORD,DEM,5484,2000,36.3591,-76.982
HERTFORD,REP,2382,2000,36.3591,-76.982
HOKE,DEM,5017,2000,35.0175,-79.2373
HOKE,REP,3439,2000,35.0175,-79.2373
HYDE,DEM,1088,2000,35.5305,-76.2509
HYDE,REP,1132,2000,35.5305,-76.2509
IREDELL,DEM,15434,2000,35.8071,-80.8734
IREDELL,REP,29853,2000,35.8071,-80.8734
JACKSON,DEM,5722,2000,35.2876,-83.1408
JACKSON,REP,6237,2000,35.2876,-83.1408
JOHNSTON,DEM,13704,2000,35.5178,-78.3657
JOHNSTON,REP,27212,2000,35.5178,-78.3657
JONES,DEM,1822,2000,35.0217,-77.3552
JONES,REP,2114,2000,35.0217,-77.3552
LEE,DEM,6785,2000,35.4752,-79.1715
LEE,REP,9406,2000,35.4752,-79.1715
LENOIR,DEM,9527,2000,35.2388,-77.6412
LENOIR,REP,11512,2000,35.2388,-77.6412
LINCOLN,DEM,8412,2000,35.4856,-81.2235
LINCOLN,REP,15951,2000,35.4856,-81.2235
MACON,DEM,4683,2000,35.1505,-83.4222
MACON,REP,8406,2000,35.1505,-83.4222
MADISON,DEM,3505,2000,35.858,-82.7058
MADISON,REP,4676,2000,35.858,-82.7058
MARTIN,DEM,4929,2000,35.8432,-77.1092
MARTIN,REP,4420,2000,35.8432,-77.1092
MCDOWELL,DEM,4747,2000,35.6817,-82.0493
MCDOWELL,REP,9109,2000,35.6817,-82.0493
MECKLENBURG,DEM,126911,2000,35.2467,-80.8328
MECKLENBURG,REP,134068,2000,35.2467,-80.8328
