County,Choice_Party,Total_Votes,Year
ALAMANCE,DEM,17459,2000
ALAMANCE,REP,29305,2000
ALEXANDER,DEM,4166,2000
ALEXANDER,REP,9242,2000
ALLEGHANY,DEM,1715,2000
ALLEGHANY,REP,2531,2000
ANSON,DEM,4792,2000
ANSON,REP,3161,2000
ASHE,DEM,4011,2000
ASHE,REP,6226,2000
AVERY,DEM,1686,2000
AVERY,REP,4956,2000
BEAUFORT,DEM,6634,2000
BEAUFORT,REP,10531,2000
BERTIE,DEM,4660,2000
BERTIE,REP,2488,2000
BLADEN,DEM,5889,2000
BLADEN,REP,4977,2000
BRUNSWICK,DEM,13118,2000
BRUNSWICK,REP,15427,2000
BUNCOMBE,DEM,38545,2000
BUNCOMBE,REP,46101,2000
BURKE,DEM,11924,2000
BURKE,REP,18466,2000
CABARRUS,DEM,16284,2000
CABARRUS,REP,32704,2000
CALDWELL,DEM,8588,2000
CALDWELL,REP,17337,2000
CAMDEN,DEM,1187,2000
CAMDEN,REP,1628,2000
CARTERET,DEM,7998,2000
CARTERET,REP,15317,2000
CASWELL,DEM,4091,2000
CASWELL,REP,4270,2000
CATAWBA,DEM,16246,2000
CATAWBA,REP,34244,2000
CHATHAM,DEM,10461,2000
CHATHAM,REP,10248,2000
CHEROKEE,DEM,3239,2000
CHEROKEE,REP,6305,2000
CHOWAN,DEM,2430,2000
CHOWAN,REP,2415,2000
CLAY,DEM,1361,2000
CLAY,REP,2416,2000
CLEVELAND,DEM,13455,2000
CLEVELAND,REP,19064,2000
COLUMBUS,DEM,9986,2000
COLUMBUS,REP,8342,2000
CRAVEN,DEM,12213,2000
CRAVEN,REP,19494,2000
CUMBERLAND,DEM,38626,2000
CUMBERLAND,REP,38129,2000
CURRITUCK,DEM,2595,2000
CURRITUCK,REP,4095,2000
DARE,DEM,5589,2000
DARE,REP,7301,2000
DAVIDSON,DEM,16199,2000
DAVIDSON,REP,35387,2000
DAVIE,DEM,3651,2000
DAVIE,REP,10184,2000
DUPLIN,DEM,6475,2000
DUPLIN,REP,7840,2000
DURHAM,DEM,46626,2000
DURHAM,REP,25979,2000
EDGECOMBE,DEM,11315,2000
EDGECOMBE,REP,6836,2000
FORSYTH,DEM,52457,2000
FORSYTH,REP,67700,2000
FRANKLIN,DEM,7454,2000
FRANKLIN,REP,8501,2000
GASTON,DEM,19281,2000
GASTON,REP,39453,2000
GATES,DEM,1944,2000
GATES,REP,1480,2000
GRAHAM,DEM,1006,2000
GRAHAM,REP,2304,2000
GRANVILLE,DEM,7733,2000
GRANVILLE,REP,7364,2000
GREENE,DEM,2478,2000
GREENE,REP,3353,2000
GUILFORD,DEM,79912,2000
GUILFORD,REP,82087,2000
HALIFAX,DEM,10222,2000
HALIFAX,REP,6698,2000
HARNETT,DEM,9155,2000
HARNETT,REP,14762,2000
HAYWOOD,DEM,9287,2000
HAYWOOD,REP,11605,2000
HENDERSON,DEM,11434,2000
HENDERSON,REP,23382,2000
HERTFORD,DEM,5484,2000
HERTFORD,REP,2382,2000
HOKE,DEM,5017,2000
HOKE,REP,3439,2000
HYDE,DEM,1088,2000
HYDE,REP,1132,2000
IREDELL,DEM,15434,2000
IREDELL,REP,29853,2000
JACKSON,DEM,5722,2000
JACKSON,REP,6237,2000
JOHNSTON,DEM,13704,2000
JOHNSTON,REP,27212,2000
JONES,DEM,1822,2000
JONES,REP,2114,2000
LEE,DEM,6785,2000
LEE,REP,9406,2000
LENOIR,DEM,9527,2000
LENOIR,REP,11512,2000
LINCOLN,DEM,8412,2000
LINCOLN,REP,15951,2000
MACON,DEM,4683,2000
MACON,REP,8406,2000
MADISON,DEM,3505,2000
MADISON,REP,4676,2000
