County,Year,Votes_DEM,Votes_REP,Lat,Long
ALAMANCE,2000,17459,29305,36.0117,-79.4254
ALEXANDER,2000,4166,9242,35.921,-81.177
ALLEGHANY,2000,1715,2531,36.4916,-81.1271
ANSON,2000,4792,3161,34.9738,-80.1027
ASHE,2000,4011,6226,36.4341,-81.5003
AVERY,2000,1686,4956,36.0765,-81.9226
BEAUFORT,2000,6634,10531,35.494,-76.8598
BERTIE,2000,4660,2488,36.0662,-76.9787
BLADEN,2000,5889,4977,34.6146,-78.5637
BRUNSWICK,2000,13118,15427,34.071,-78.2377
BUNCOMBE,2000,38545,46101,35.6112,-82.5301
BURKE,2000,11924,18466,35.7496,-81.7048
CABARRUS,2000,16284,32704,35.3868,-80.5519
CALDWELL,2000,8588,17337,35.953,-81.5464
CAMDEN,2000,1187,1628,36.3877,-76.2064
CARTERET,2000,7998,15317,34.8357,-76.6589
CASWELL,2000,4091,4270,36.3932,-79.3335
CATAWBA,2000,16246,34244,35.662,-81.2151
CHATHAM,2000,10461,10248,35.7026,-79.2553
CHEROKEE,2000,3239,6305,35.1339,-84.0635
CHOWAN,2000,2430,2415,36.1508,-76.6079
CLAY,2000,1361,2416,35.0572,-83.7502
CLEVELAND,2000,13455,19064,35.3341,-81.5555
COLUMBUS,2000,9986,8342,34.2656,-78.655
CRAVEN,2000,12213,19494,35.1249,-77.0939
CUMBERLAND,2000,38626,38129,35.0487,-78.8277
CURRITUCK,2000,2595,4095,36.4031,-76.0059
DARE,2000,5589,7301,35.7805,-75.7982
DAVIDSON,2000,16199,35387,35.7933,-80.2128
DAVIE,2000,3651,10184,35.9291,-80.5445
DUPLIN,2000,6475,7840,34.9365,-77.933
DURHAM,2000,46626,25979,36.036,-78.8766
EDGECOMBE,2000,11315,6836,35.9129,-77.5971
FORSYTH,2000,52457,67700,36.1306,-80.2563
FRANKLIN,2000,7454,8501,36.0827,-78.2857
GASTON,2000,19281,39453,35.2944,-81.1803
GATES,2000,1944,1480,36.4449,-76.7005
GRAHAM,2000,1006,2304,35.3502,-83.8335
GRANVILLE,2000,7733,7364,36.304,-78.6527
GREENE,2000,2478,3353,35.485,-77.6758
GUILFORD,2000,79912,82087,36.0795,-79.7889
