County,Year,Votes_DEM,Votes_REP,Lat,Long,Population,dem_per_capita,rep_per_capita
ALAMANCE,2000,17459,29305,36.0117,-79.4254,171415,0.10185222996820581,0.170959367616603
ALEXANDER,2000,4166,9242,35.921,-81.177,36444,0.11431236966304467,0.2535945560311711
ALLEGHANY,2000,1715,2531,36.4916,-81.1271,10888,0.15751285819250552,0.23245775165319618
ANSON,2000,4792,3161,34.9738,-80.1027,22055,0.21727499433235095,0.14332350940829744
ASHE,2000,4011,6226,36.4341,-81.5003,26577,0.1509199683937239,0.2342627083568499
AVERY,2000,1686,4956,36.0765,-81.9226,17806,0.09468718409524879,0.2783331461305178
BEAUFORT,2000,6634,10531,35.494,-76.8598,44652,0.14857117262384664,0.23584609871898235
BERTIE,2000,4660,2488,36.0662,-76.9787,17934,0.25984164157466266,0.13873090219694434
BLADEN,2000,5889,4977,34.6146,-78.5637,29606,0.19891238262514355,0.16810781598324664
BRUNSWICK,2000,13118,15427,34.071,-78.2377,136694,0.0959661726191347,0.11285791622163373
BUNCOMBE,2000,38545,46101,35.6112,-82.5301,269452,0.14304959695975536,0.17109169722251089
BURKE,2000,11924,18466,35.7496,-81.7048,87570,0.1361653534315405,0.2108713029576339
CABARRUS,2000,16284,32704,35.3868,-80.5519,225807,0.07211468200720084,0.14483164826599706
CALDWELL,2000,8588,17337,35.953,-81.5464,80652,0.10648217031195754,0.21496057134355007
CAMDEN,2000,1187,1628,36.3877,-76.2064,10355,0.11463061323032352,0.15721873491067118
CARTERET,2000,7998,15317,34.8357,-76.6589,67686,0.11816328339686198,0.2262949502112697
CASWELL,2000,4091,4270,36.3932,-79.3335,22736,0.17993490499648135,0.18780788177339902
CATAWBA,2000,16246,34244,35.662,-81.2151,160610,0.10115185853931885,0.21321212875910592
CHATHAM,2000,10461,10248,35.7026,-79.2553,76285,0.13713049747656814,0.1343383365012781
CHEROKEE,2000,3239,6305,35.1339,-84.0635,28774,0.11256690067421979,0.21912142906790852
CHOWAN,2000,2430,2415,36.1508,-76.6079,13708,0.17726874817624744,0.1761744966442953
CLAY,2000,1361,2416,35.0572,-83.7502,11089,0.12273424113986833,0.2178735684011182
CLEVELAND,2000,13455,19064,35.3341,-81.5555,99519,0.13520031350797335,0.19156141038394678
COLUMBUS,2000,9986,8342,34.2656,-78.655,50623,0.19726211405882701,0.16478675700768425
CRAVEN,2000,12213,19494,35.1249,-77.0939,100720,0.12125694996028594,0.19354646544876886
CUMBERLAND,2000,38626,38129,35.0487,-78.8277,334728,0.11539518653951865,0.11391039889103989
CURRITUCK,2000,2595,4095,36.4031,-76.0059,28100,0.09234875444839857,0.14572953736654803
DARE,2000,5589,7301,35.7805,-75.7982,36915,0.15140186915887852,0.19777868075308142
DAVIDSON,2000,16199,35387,35.7933,-80.2128,168930,0.0958917894986089,0.20947729828923223
DAVIE,2000,3651,10184,35.9291,-80.5445,42712,0.08547949054129987,0.23843416370106763
DUPLIN,2000,6475,7840,34.9365,-77.933,48715,0.13291593964897874,0.16093605665606076
DURHAM,2000,46626,25979,36.036,-78.8766,324833,0.14353837202500977,0.07997648022214492
EDGECOMBE,2000,11315,6836,35.9129,-77.5971,48900,0.23139059304703477,0.13979550102249488
FORSYTH,2000,52457,67700,36.1306,-80.2563,382590,0.13711022243132334,0.17695182832797512
FRANKLIN,2000,7454,8501,36.0827,-78.2857,68573,0.10870167558660114,0.12397007568576554
GASTON,2000,19281,39453,35.2944,-81.1803,227943,0.08458693620773615,0.1730827443703031
GATES,2000,1944,1480,36.4449,-76.7005,10478,0.18553158999809125,0.14124832983393779
GRAHAM,2000,1006,2304,35.3502,-83.8335,8030,0.12528019925280198,0.28692403486924034
GRANVILLE,2000,7733,7364,36.304,-78.6527,60992,0.12678711962224554,0.12073714585519413
GREENE,2000,2478,3353,35.485,-77.6758,20451,0.12116766906263753,0.1639528629406875
GUILFORD,2000,79912,82087,36.0795,-79.7889,541309,0.14762732561254294,0.15164536336916623
HALIFAX,2000,10222,6698,36.2574,-77.6517,48622,0.21023405042984658,0.1377565710995023
HARNETT,2000,9155,14762,35.3688,-78.8693,133568,0.0685418663152851,0.11052048394825108
HAYWOOD,2000,9287,11605,35.556,-82.9822,62089,0.14957560920613958,0.1869091143358727
HENDERSON,2000,11434,23382,35.3363,-82.48,116281,0.09833076770925603,0.20108186204109013
HERTFORD,2000,5484,2382,36.3591,-76.982,21552,0.2544543429844098,0.11052338530066814
HOKE,2000,5017,3439,35.0175,-79.2373,52082,0.09632886601897009,0.06603049038055374
HYDE,2000,1088,1132,35.5305,-76.2509,4589,0.23708869034648072,0.24667683591196338
IREDELL,2000,15434,29853,35.8071,-80.8734,186699,0.08266782360912485,0.15989908890781418
JACKSON,2000,5722,6237,35.2876,-83.1408,43109,0.1327333039504512,0.1446797652462363
JOHNSTON,2000,13704,27212,35.5178,-78.3657,215999,0.06344473817008411,0.12598206473178117
JONES,2000,1822,2114,35.0217,-77.3552,9172,0.19864805931094637,0.23048408198866113
LEE,2000,6785,9406,35.4752,-79.1715,63285,0.10721339969977088,0.1486292170340523
LENOIR,2000,9527,11512,35.2388,-77.6412,55122,0.17283480280105948,0.2088458328797939
LINCOLN,2000,8412,15951,35.4856,-81.2235,86810,0.0969012786545329,0.1837461121990554
MACON,2000,4683,8406,35.1505,-83.4222,37014,0.1265196952504458,0.22710325822661695
MADISON,2000,3505,4676,35.858,-82.7058,21193,0.16538479686689,0.2206388901995942
MARTIN,2000,4929,4420,35.8432,-77.1092,22031,0.22373019835686078,0.20062639008669603
MCDOWELL,2000,4747,9109,35.6817,-82.0493,44578,0.10648750504733276,0.20433846291892863
MECKLENBURG,2000,126911,134068,35.2467,-80.8328,1115482,0.1137723423596257,0.12018840286082608
MITCHELL,2000,1535,4984,36.0133,-82.1636,14903,0.10299939609474602,0.33442930953499295
MONTGOMERY,2000,3979,4946,35.3325,-79.9055,25751,0.15451827113510155,0.19207021086559745
MOORE,2000,11174,19822,35.3106,-79.4814,99727,0.1120458852667783,0.1987626219579452
NASH,2000,12376,17995,35.9673,-77.9864,94970,0.13031483626408338,0.18948088870169527
NEW HANOVER,2000,29292,36503,34.2328,-77.8847,225702,0.12978174761411065,0.16173095497603035
NORTHAMPTON,2000,5513,2667,36.4178,-77.3969,17471,0.31555148531852784,0.1526529677751703
ONSLOW,2000,10269,19657,34.7321,-77.4321,204576,0.05019650398873768,0.09608653996558736
ORANGE,2000,30921,17930,36.0611,-79.1207,148696,0.20794775918652822,0.12058158928283208
PAMLICO,2000,2188,2999,35.1435,-76.7407,12276,0.1782339524275008,0.24429781687846203
PASQUOTANK,2000,5874,4943,36.2955,-76.284,40568,0.1447939262472885,0.12184480378623545
PENDER,2000,6415,7661,34.5248,-77.9051,60203,0.10655615168679301,0.12725279471122702
PERQUIMANS,2000,2033,2230,36.2059,-76.4411,13005,0.15632449058054596,0.1714725105728566
PERSON,2000,5042,6722,36.39,-78.9718,39097,0.1289613013786224,0.17193135023147557
PITT,2000,19685,23192,35.5933,-77.3745,170243,0.11562883642792948,0.136228802358981
POLK,2000,3114,5074,35.2793,-82.1697,19328,0.1611134105960265,0.2625206953642384
RANDOLPH,2000,11366,30959,35.7103,-79.806,144171,0.07883693669323234,0.21473805411629246
RICHMOND,2000,7935,6263,35.0059,-79.7479,42946,0.18476691659293065,0.14583430354398547
ROBESON,2000,17834,11721,34.6402,-79.1039,116530,0.15304213507251352,0.10058354071912812
ROCKINGHAM,2000,13260,18979,36.396,-79.775,91096,0.1455607271449899,0.20834065162026874
ROWAN,2000,14891,28922,35.6394,-80.5247,146875,0.10138553191489362,0.19691574468085107
RUTHERFORD,2000,7697,13755,35.4026,-81.9198,64444,0.11943703060021103,0.21344112718018746
SAMPSON,2000,8768,10410,34.9916,-78.3714,59036,0.14851954739480994,0.17633308489735078
SCOTLAND,2000,5627,3740,34.8409,-79.4804,34174,0.16465734183882483,0.10943992508924914
STANLY,2000,7066,15548,35.3119,-80.251,62504,0.11304876487904775,0.24875207986688852
